Document,Topic,Name,Representation,Aspect1,Representative_Docs,Top_n_words,Probability,Representative_document
Selling seniors lives for big donations the Harris evil alliance Never Vote Conservative,0,0_welfare_canadians_pension_trudeau,"['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['This pandemic has shown us how bad things were. Millions of Canadians do not have affordable housing, secure employment or enough to get by. Persons with Disability, seniors, students, Black, Indigenous, and People of Color. who can afford to rent at $1300 to $2500 a month? Think about it. A min of $15,000 per month rent.', 'Affordability theme starting how can our seniors survive the current economic situation. Part 1 w and views on this. Doubling Canada Emergency Response Benefit by the Conservatives? Debate 2021 Politics Canada 44th Canadian Federal Election Canadian Politics', 'We need government solutions - a raise in Ontario Disability Support Program rates, Ontario Autism Program, Canada Pension Plan, not to mention Ontario Works (welfare). Universal Basic Income without cuts to services. Affordable housing, supportive housing for those with needs. Government funded food access. And safe supply so I do not wonder when someone is missing...']",welfare - canadians - pension - trudeau - afford - alberta - poverty - conservatives - homeless - conservative,1.0,False
has the absolute worst customer service. Did not get seniors discount. Manager will not give it unless it is the time. Ignored on Twitter message. Called customer service week ago. Have not heard back. On hold 15 minutes today and still 0 answers. ageism elderabuse,-1,-1_transgender_bronx_christmas_lesbian,"['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CANR Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CAD Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...']",transgender - bronx - christmas - lesbian - celebrate - party - millennials - celebrated - bisexual - gay,0.0,False
Am I part of the Flu Trux Klan event nope! Triple vaccinated and give vaccines to keep the elderly and immunosuppressed safe. Despise selfish con artists and grifters. needs to give the money back as it is for a political anti vaccine event. Covid Idiots,2,2_vaccine_vaccines_vaccinated_vaccination,"['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['Am I part of the Flu Trux Klan event nope! Triple vaccinated and give vaccines to keep the elderly and immunosuppressed safe. Despise selfish con artists and grifters. needs to give the money back as it is for a political anti vaccine event. Covid Idiots', 'Can my elderly mom get her second dose please? She is caring for my elderly father with prostate cancer. But she keeps being turned away. Alberta covid Alberta vaccine', 'Ghanaian Canadian Association of Ontario popup vaccine clinic is offering second pfizer doses for seniors ages 70 and older and any frontline health worker. And 1st dose to anyone 12 years and above. To register please click the link below: covid 19 Pfizer Vaccine 1st dose covid19 vaccine']",vaccine - vaccines - vaccinated - vaccination - covid19 - covid - unvaccinated - coronavirus - immunity - immunocompromised,1.0,True
Perhaps her portfolio should be renamed Minister of Long Term Blame because we have had a year of federal finger pointing with very little Care given to our seniors,0,0_welfare_canadians_pension_trudeau,"['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['This pandemic has shown us how bad things were. Millions of Canadians do not have affordable housing, secure employment or enough to get by. Persons with Disability, seniors, students, Black, Indigenous, and People of Color. who can afford to rent at $1300 to $2500 a month? Think about it. A min of $15,000 per month rent.', 'Affordability theme starting how can our seniors survive the current economic situation. Part 1 w and views on this. Doubling Canada Emergency Response Benefit by the Conservatives? Debate 2021 Politics Canada 44th Canadian Federal Election Canadian Politics', 'We need government solutions - a raise in Ontario Disability Support Program rates, Ontario Autism Program, Canada Pension Plan, not to mention Ontario Works (welfare). Universal Basic Income without cuts to services. Affordable housing, supportive housing for those with needs. Government funded food access. And safe supply so I do not wonder when someone is missing...']",welfare - canadians - pension - trudeau - afford - alberta - poverty - conservatives - homeless - conservative,0.9837307688933816,False
So instead of solving problem you turned my service off all together? ? I actually need a phone in order my elderly mother and mother-in-law (both widows) can reach me when they need to! You talked me to adding phone via my internet and now I have NO service!,-1,-1_transgender_bronx_christmas_lesbian,"['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CANR Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CAD Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...']",transgender - bronx - christmas - lesbian - celebrate - party - millennials - celebrated - bisexual - gay,0.0,False
This. Universal basic income. Legalized safe supply. Preventative social safety nets. Elder care. Disability benefits. Health/dental care. Things that might actually make a difference.,0,0_welfare_canadians_pension_trudeau,"['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['This pandemic has shown us how bad things were. Millions of Canadians do not have affordable housing, secure employment or enough to get by. Persons with Disability, seniors, students, Black, Indigenous, and People of Color. who can afford to rent at $1300 to $2500 a month? Think about it. A min of $15,000 per month rent.', 'Affordability theme starting how can our seniors survive the current economic situation. Part 1 w and views on this. Doubling Canada Emergency Response Benefit by the Conservatives? Debate 2021 Politics Canada 44th Canadian Federal Election Canadian Politics', 'We need government solutions - a raise in Ontario Disability Support Program rates, Ontario Autism Program, Canada Pension Plan, not to mention Ontario Works (welfare). Universal Basic Income without cuts to services. Affordable housing, supportive housing for those with needs. Government funded food access. And safe supply so I do not wonder when someone is missing...']",welfare - canadians - pension - trudeau - afford - alberta - poverty - conservatives - homeless - conservative,1.0,False
How can you trust who cannot even ask his own candidates to get fully vaccinated before putting vulnerable seniors in danger.,2,2_vaccine_vaccines_vaccinated_vaccination,"['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['Am I part of the Flu Trux Klan event nope! Triple vaccinated and give vaccines to keep the elderly and immunosuppressed safe. Despise selfish con artists and grifters. needs to give the money back as it is for a political anti vaccine event. Covid Idiots', 'Can my elderly mom get her second dose please? She is caring for my elderly father with prostate cancer. But she keeps being turned away. Alberta covid Alberta vaccine', 'Ghanaian Canadian Association of Ontario popup vaccine clinic is offering second pfizer doses for seniors ages 70 and older and any frontline health worker. And 1st dose to anyone 12 years and above. To register please click the link below: covid 19 Pfizer Vaccine 1st dose covid19 vaccine']",vaccine - vaccines - vaccinated - vaccination - covid19 - covid - unvaccinated - coronavirus - immunity - immunocompromised,0.7001477159239508,False
"That Is an arbitrary definition of what constitutes a person, and not rooted in science or logic. A zygote is still a human, is still living, and still has inherent value. If we go down that road, we can remove personhood from any number of people groups. Elderly, disabled, et cetera.",0,0_welfare_canadians_pension_trudeau,"['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['This pandemic has shown us how bad things were. Millions of Canadians do not have affordable housing, secure employment or enough to get by. Persons with Disability, seniors, students, Black, Indigenous, and People of Color. who can afford to rent at $1300 to $2500 a month? Think about it. A min of $15,000 per month rent.', 'Affordability theme starting how can our seniors survive the current economic situation. Part 1 w and views on this. Doubling Canada Emergency Response Benefit by the Conservatives? Debate 2021 Politics Canada 44th Canadian Federal Election Canadian Politics', 'We need government solutions - a raise in Ontario Disability Support Program rates, Ontario Autism Program, Canada Pension Plan, not to mention Ontario Works (welfare). Universal Basic Income without cuts to services. Affordable housing, supportive housing for those with needs. Government funded food access. And safe supply so I do not wonder when someone is missing...']",welfare - canadians - pension - trudeau - afford - alberta - poverty - conservatives - homeless - conservative,0.9300438444838552,False
"Aly, your strong advocacy and ability to build relationships will be missed by the families you have touched and enriched. Thanks for all you have done and will continue to do to enrich the lives in seniors care. Always enjoyed my time working with you when we were both at GSS.",1,1_edmonton_resident_calgary_meeting,"['edmonton', 'resident', 'calgary', 'meeting', 'airport', 'visit', 'celebrating', 'st', 'activities', 'wellness']","['edmonton', 'resident', 'calgary', 'meeting', 'airport', 'visit', 'celebrating', 'st', 'activities', 'wellness']","['Year 7 of stocking stuffers for seniors! The last 2 years have been a little different, but when we knock on the seniors doors with their gifts, the smiles and kind words make it all worth it. Thank you to everyone who sponsored a senior this Christmas! Edmonton International Airport tweet up', ""Our planning meeting today! Join us Wednesday as I host the: Mental Wellness Town Hall Bell Let Us Talk Self-Care Wed, January 26th 12:00 pm (MST) on Windspeaker Radio Network. Our panelist include: -Dr. Evan Adams -Kairyn Potts and -Elder Pam Heavyhead Indigenous Bell Let's Talk"", 'Chinatown Seniors Lodge and courtyard There are 4 facilities to service different stages from independent to assisted living. The center has been impacted by light rail transit construction and COVID-19, losing 1/3 of their residents since October 2020 (1/3) Edmonton International Airport']",edmonton - resident - calgary - meeting - airport - visit - celebrating - st - activities - wellness,1.0,False
"Meadow Musqua, 17, says she plans to dance outside the Regina General Hospital every day until her kokum, Elder Lorna Standing ready, is healed of COVID-19. yqr covid19sk : Richard Agecoutay/ READ MORE:",-1,-1_transgender_bronx_christmas_lesbian,"['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CANR Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CAD Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...']",transgender - bronx - christmas - lesbian - celebrate - party - millennials - celebrated - bisexual - gay,0.0,False
"This message is from an Inuit Elder. There is something especially special about receiving such messages from members of First Nations, Métis, Inuit  communities. As a settler, my heart is beaming Ontario Politics Canadian Politics Indigenous Peoples",0,0_welfare_canadians_pension_trudeau,"['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['This pandemic has shown us how bad things were. Millions of Canadians do not have affordable housing, secure employment or enough to get by. Persons with Disability, seniors, students, Black, Indigenous, and People of Color. who can afford to rent at $1300 to $2500 a month? Think about it. A min of $15,000 per month rent.', 'Affordability theme starting how can our seniors survive the current economic situation. Part 1 w and views on this. Doubling Canada Emergency Response Benefit by the Conservatives? Debate 2021 Politics Canada 44th Canadian Federal Election Canadian Politics', 'We need government solutions - a raise in Ontario Disability Support Program rates, Ontario Autism Program, Canada Pension Plan, not to mention Ontario Works (welfare). Universal Basic Income without cuts to services. Affordable housing, supportive housing for those with needs. Government funded food access. And safe supply so I do not wonder when someone is missing...']",welfare - canadians - pension - trudeau - afford - alberta - poverty - conservatives - homeless - conservative,0.9974445797634041,False
"RAISE THE RATES for British Columbia Disabled, low income seniors, and Income Assistance No less than the Official Poverty Level Of Canada - Sign the Petition! via",0,0_welfare_canadians_pension_trudeau,"['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['This pandemic has shown us how bad things were. Millions of Canadians do not have affordable housing, secure employment or enough to get by. Persons with Disability, seniors, students, Black, Indigenous, and People of Color. who can afford to rent at $1300 to $2500 a month? Think about it. A min of $15,000 per month rent.', 'Affordability theme starting how can our seniors survive the current economic situation. Part 1 w and views on this. Doubling Canada Emergency Response Benefit by the Conservatives? Debate 2021 Politics Canada 44th Canadian Federal Election Canadian Politics', 'We need government solutions - a raise in Ontario Disability Support Program rates, Ontario Autism Program, Canada Pension Plan, not to mention Ontario Works (welfare). Universal Basic Income without cuts to services. Affordable housing, supportive housing for those with needs. Government funded food access. And safe supply so I do not wonder when someone is missing...']",welfare - canadians - pension - trudeau - afford - alberta - poverty - conservatives - homeless - conservative,1.0,False
"Kevin (on the left), pictured here with Devi, is a regular Saturday volunteer and he also used his medical knowledge to conduct a research piece on our seniors food delivery and wellness initiative.Thank you and farewell Kevin as you embark on a new chapter. We will miss you!",-1,-1_transgender_bronx_christmas_lesbian,"['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CANR Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CAD Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...']",transgender - bronx - christmas - lesbian - celebrate - party - millennials - celebrated - bisexual - gay,0.0,False
