Document,Topic,Name,Representation,Aspect1,Representative_Docs,Top_n_words,Probability,Representative_document
Selling seniors lives for big donations the Harris evil alliance Never Vote Conservative,2,2_trudeau_calgary_election_canadas,"['trudeau', 'calgary', 'election', 'canadas', 'voters', 'voting', 'vote', 'minister', 'conservatives', 'democratic']","['trudeau', 'calgary', 'election', 'canadas', 'voters', 'voting', 'vote', 'minister', 'conservatives', 'democratic']","['Nothing to see here. Numbers do not tell you a thing. Read everything! Alberta New Democratic Party rated disability, seniors, poverty and homelessness at the bottom of their priorities. Thankfully there will be more parties independents on the ballot. Election 2023 Alberta Legislative Edmonton International Airport Calgary International Airport Alberta Politics', '2021 Angus Reid Poll showed Alberta New Democratic Party rated poverty, disability, seniors and homelessness at their bottom of their priorities. AND they endorse segregation abuse of disabled students in education! who the hell votes for this junk? Not anyone with inclusive values. Gross Alberta Legislative Edmonton International Airport Calgary International Airport', 'I am a red dot in a sea of blue living in West Kelowna. What I hear: Justin Trudeau does not do anything for seniors Justin Trudeau does zip for the west Canada Emergency Response Benefit Employment benefits are for lazy people Justin Trudeau cares more about immigrants than ""real Canadians"" Justin Trudeau is to good looking and men cannot deal with that 44th Canadian Federal Election']",trudeau - calgary - election - canadas - voters - voting - vote - minister - conservatives - democratic,1.0,False
has the absolute worst customer service. Did not get seniors discount. Manager will not give it unless it is the time. Ignored on Twitter message. Called customer service week ago. Have not heard back. On hold 15 minutes today and still 0 answers. ageism elderabuse,-1,-1_avenue_emergency_alarm_rescue435,"['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['Alarm (single Source) [North York] Brighton Avenue b/w Goddard Street / Elder Street Dispatched: 03/10/21 12:32 EDT [Stn: 143] Pumper-143 Rescue-112 General Area:', 'Support lesbian, gay, bisexual, transgender, intersex, queer or questioning nondiscrimination protections: There are many states across the country without explicit laws protecting LGBT elders from discrimination. Many residents have lived in these states before. View article...', 'The last  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual Sub-Working Group meeting, but not the last task at hand. We continue with the healing process. We move forward with an amazing group of knowledge-holders, Elders, and Two-Spirits towards the next generations.  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual']",avenue - emergency - alarm - rescue435 - transgender - crisis - queer - homeless - lesbian - officers,0.0,False
Am I part of the Flu Trux Klan event nope! Triple vaccinated and give vaccines to keep the elderly and immunosuppressed safe. Despise selfish con artists and grifters. needs to give the money back as it is for a political anti vaccine event. Covid Idiots,0,0_vaccine_vaccines_vaccination_vaccinated,"['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'vaccinations', 'immunity', 'unvaccinated', 'immunocompromised', 'immune', 'patients']","['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'vaccinations', 'immunity', 'unvaccinated', 'immunocompromised', 'immune', 'patients']","['Reflections after working at todays mass vaccine clinic: 1. COVAX data entry continues to kill our speed. 2. Due to Pfizer shortages, people 30+ can only get Moderna many declined. 3. The overwhelmingly majority of booster recipients were younger adults we must reach seniors.', 'Do Seniors need attention by the chief marketing officer to help us to understand the 2 Shot Pfizer vaccine for our age-diminished immune systems? Is there a need to consider our reduced immunity, due to our age, when deciding how soon we need the 2nd shot for Full Immunity? 28 days or 4 moths?', 'Ghanaian Canadian Association of Ontario popup vaccine clinic is offering second pfizer doses for seniors ages 70 and older and any frontline health worker. And 1st dose to anyone 12 years and above. To register please click the link below: covid 19 Pfizer Vaccine 1st dose covid19 vaccine']",vaccine - vaccines - vaccination - vaccinated - vaccinations - immunity - unvaccinated - immunocompromised - immune - patients,1.0,False
Perhaps her portfolio should be renamed Minister of Long Term Blame because we have had a year of federal finger pointing with very little Care given to our seniors,-1,-1_avenue_emergency_alarm_rescue435,"['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['Alarm (single Source) [North York] Brighton Avenue b/w Goddard Street / Elder Street Dispatched: 03/10/21 12:32 EDT [Stn: 143] Pumper-143 Rescue-112 General Area:', 'Support lesbian, gay, bisexual, transgender, intersex, queer or questioning nondiscrimination protections: There are many states across the country without explicit laws protecting LGBT elders from discrimination. Many residents have lived in these states before. View article...', 'The last  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual Sub-Working Group meeting, but not the last task at hand. We continue with the healing process. We move forward with an amazing group of knowledge-holders, Elders, and Two-Spirits towards the next generations.  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual']",avenue - emergency - alarm - rescue435 - transgender - crisis - queer - homeless - lesbian - officers,0.0,False
So instead of solving problem you turned my service off all together? ? I actually need a phone in order my elderly mother and mother-in-law (both widows) can reach me when they need to! You talked me to adding phone via my internet and now I have NO service!,-1,-1_avenue_emergency_alarm_rescue435,"['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['Alarm (single Source) [North York] Brighton Avenue b/w Goddard Street / Elder Street Dispatched: 03/10/21 12:32 EDT [Stn: 143] Pumper-143 Rescue-112 General Area:', 'Support lesbian, gay, bisexual, transgender, intersex, queer or questioning nondiscrimination protections: There are many states across the country without explicit laws protecting LGBT elders from discrimination. Many residents have lived in these states before. View article...', 'The last  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual Sub-Working Group meeting, but not the last task at hand. We continue with the healing process. We move forward with an amazing group of knowledge-holders, Elders, and Two-Spirits towards the next generations.  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual']",avenue - emergency - alarm - rescue435 - transgender - crisis - queer - homeless - lesbian - officers,0.0,False
This. Universal basic income. Legalized safe supply. Preventative social safety nets. Elder care. Disability benefits. Health/dental care. Things that might actually make a difference.,-1,-1_avenue_emergency_alarm_rescue435,"['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['Alarm (single Source) [North York] Brighton Avenue b/w Goddard Street / Elder Street Dispatched: 03/10/21 12:32 EDT [Stn: 143] Pumper-143 Rescue-112 General Area:', 'Support lesbian, gay, bisexual, transgender, intersex, queer or questioning nondiscrimination protections: There are many states across the country without explicit laws protecting LGBT elders from discrimination. Many residents have lived in these states before. View article...', 'The last  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual Sub-Working Group meeting, but not the last task at hand. We continue with the healing process. We move forward with an amazing group of knowledge-holders, Elders, and Two-Spirits towards the next generations.  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual']",avenue - emergency - alarm - rescue435 - transgender - crisis - queer - homeless - lesbian - officers,0.0,False
How can you trust who cannot even ask his own candidates to get fully vaccinated before putting vulnerable seniors in danger.,0,0_vaccine_vaccines_vaccination_vaccinated,"['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'vaccinations', 'immunity', 'unvaccinated', 'immunocompromised', 'immune', 'patients']","['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'vaccinations', 'immunity', 'unvaccinated', 'immunocompromised', 'immune', 'patients']","['Reflections after working at todays mass vaccine clinic: 1. COVAX data entry continues to kill our speed. 2. Due to Pfizer shortages, people 30+ can only get Moderna many declined. 3. The overwhelmingly majority of booster recipients were younger adults we must reach seniors.', 'Do Seniors need attention by the chief marketing officer to help us to understand the 2 Shot Pfizer vaccine for our age-diminished immune systems? Is there a need to consider our reduced immunity, due to our age, when deciding how soon we need the 2nd shot for Full Immunity? 28 days or 4 moths?', 'Ghanaian Canadian Association of Ontario popup vaccine clinic is offering second pfizer doses for seniors ages 70 and older and any frontline health worker. And 1st dose to anyone 12 years and above. To register please click the link below: covid 19 Pfizer Vaccine 1st dose covid19 vaccine']",vaccine - vaccines - vaccination - vaccinated - vaccinations - immunity - unvaccinated - immunocompromised - immune - patients,1.0,False
"That Is an arbitrary definition of what constitutes a person, and not rooted in science or logic. A zygote is still a human, is still living, and still has inherent value. If we go down that road, we can remove personhood from any number of people groups. Elderly, disabled, et cetera.",-1,-1_avenue_emergency_alarm_rescue435,"['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['Alarm (single Source) [North York] Brighton Avenue b/w Goddard Street / Elder Street Dispatched: 03/10/21 12:32 EDT [Stn: 143] Pumper-143 Rescue-112 General Area:', 'Support lesbian, gay, bisexual, transgender, intersex, queer or questioning nondiscrimination protections: There are many states across the country without explicit laws protecting LGBT elders from discrimination. Many residents have lived in these states before. View article...', 'The last  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual Sub-Working Group meeting, but not the last task at hand. We continue with the healing process. We move forward with an amazing group of knowledge-holders, Elders, and Two-Spirits towards the next generations.  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual']",avenue - emergency - alarm - rescue435 - transgender - crisis - queer - homeless - lesbian - officers,0.0,False
"Aly, your strong advocacy and ability to build relationships will be missed by the families you have touched and enriched. Thanks for all you have done and will continue to do to enrich the lives in seniors care. Always enjoyed my time working with you when we were both at GSS.",-1,-1_avenue_emergency_alarm_rescue435,"['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['Alarm (single Source) [North York] Brighton Avenue b/w Goddard Street / Elder Street Dispatched: 03/10/21 12:32 EDT [Stn: 143] Pumper-143 Rescue-112 General Area:', 'Support lesbian, gay, bisexual, transgender, intersex, queer or questioning nondiscrimination protections: There are many states across the country without explicit laws protecting LGBT elders from discrimination. Many residents have lived in these states before. View article...', 'The last  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual Sub-Working Group meeting, but not the last task at hand. We continue with the healing process. We move forward with an amazing group of knowledge-holders, Elders, and Two-Spirits towards the next generations.  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual']",avenue - emergency - alarm - rescue435 - transgender - crisis - queer - homeless - lesbian - officers,0.0,False
"Meadow Musqua, 17, says she plans to dance outside the Regina General Hospital every day until her kokum, Elder Lorna Standing ready, is healed of COVID-19. yqr covid19sk : Richard Agecoutay/ READ MORE:",1,1_ceremony_huron_mississauga_volunteers,"['ceremony', 'huron', 'mississauga', 'volunteers', 'lakeshore', 'honour', 'spirit', 'garden', 'sunrise', 'attended']","['ceremony', 'huron', 'mississauga', 'volunteers', 'lakeshore', 'honour', 'spirit', 'garden', 'sunrise', 'attended']","['Happy to help deliver fresh bread to the seniors at the Villa Forum Long-Term Care Residence this evening, thanks to another generous donation from Tony Iantorno and his team at Mississauga Lakeshore Ontario Spirit Support Local Ontario:', 'National Indigenous Peoples Day, attended Sunrise Ceremony org by 2 celebrate vibrant culture, traditions, and way of life of First Nations, Metis, and Inuit peoples. As well met with students, and residential school survivors Elder Emma Reelis and Danny Pottle at heart garden Heart Garden.', 'Thanks to my friend Tony Lantorno and his team at delivered a generous contribution of fresh bread to the seniors at the Wawel Villa Residence and Turtle Creek Manor tonight. Mississauga Lakeshore Ontario Spirit Support local business']",ceremony - huron - mississauga - volunteers - lakeshore - honour - spirit - garden - sunrise - attended,1.0,False
"This message is from an Inuit Elder. There is something especially special about receiving such messages from members of First Nations, Métis, Inuit  communities. As a settler, my heart is beaming Ontario Politics Canadian Politics Indigenous Peoples",-1,-1_avenue_emergency_alarm_rescue435,"['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['avenue', 'emergency', 'alarm', 'rescue435', 'transgender', 'crisis', 'queer', 'homeless', 'lesbian', 'officers']","['Alarm (single Source) [North York] Brighton Avenue b/w Goddard Street / Elder Street Dispatched: 03/10/21 12:32 EDT [Stn: 143] Pumper-143 Rescue-112 General Area:', 'Support lesbian, gay, bisexual, transgender, intersex, queer or questioning nondiscrimination protections: There are many states across the country without explicit laws protecting LGBT elders from discrimination. Many residents have lived in these states before. View article...', 'The last  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual Sub-Working Group meeting, but not the last task at hand. We continue with the healing process. We move forward with an amazing group of knowledge-holders, Elders, and Two-Spirits towards the next generations.  Two-Spirit, Lesbian, Gay, Bisexual, Transgender, Queer and/or Questioning, Intersex, Asexual']",avenue - emergency - alarm - rescue435 - transgender - crisis - queer - homeless - lesbian - officers,0.0,False
"RAISE THE RATES for British Columbia Disabled, low income seniors, and Income Assistance No less than the Official Poverty Level Of Canada - Sign the Petition! via",2,2_trudeau_calgary_election_canadas,"['trudeau', 'calgary', 'election', 'canadas', 'voters', 'voting', 'vote', 'minister', 'conservatives', 'democratic']","['trudeau', 'calgary', 'election', 'canadas', 'voters', 'voting', 'vote', 'minister', 'conservatives', 'democratic']","['Nothing to see here. Numbers do not tell you a thing. Read everything! Alberta New Democratic Party rated disability, seniors, poverty and homelessness at the bottom of their priorities. Thankfully there will be more parties independents on the ballot. Election 2023 Alberta Legislative Edmonton International Airport Calgary International Airport Alberta Politics', '2021 Angus Reid Poll showed Alberta New Democratic Party rated poverty, disability, seniors and homelessness at their bottom of their priorities. AND they endorse segregation abuse of disabled students in education! who the hell votes for this junk? Not anyone with inclusive values. Gross Alberta Legislative Edmonton International Airport Calgary International Airport', 'I am a red dot in a sea of blue living in West Kelowna. What I hear: Justin Trudeau does not do anything for seniors Justin Trudeau does zip for the west Canada Emergency Response Benefit Employment benefits are for lazy people Justin Trudeau cares more about immigrants than ""real Canadians"" Justin Trudeau is to good looking and men cannot deal with that 44th Canadian Federal Election']",trudeau - calgary - election - canadas - voters - voting - vote - minister - conservatives - democratic,0.9195332584218017,False
